Games played: 4,Player X: 2,Player O: 0,Draws: 1
Games played: 2,Player X: 0,Player O: 1,Draws: 0
Games played: 2,Player X: 0,Player O: 1,Draws: 0
Games played: 2,Player X: 0,Player O: 0,Draws: 1
Games played: 2,Player X: 0,Player O: 0,Draws: 1
